antecedents,consequent,support,confidence,zhangs_metric,rule_coverage
"['flow_Link_16__(214.8, 282.6]', 'flow_Link_19__(-1213.2, -981.0]']",leak_label__1.0,0.0,0.0,-1.0,0.115
"['flow_Link_16__(214.8, 282.6]', 'flow_Link_19__(-748.8, -516.6]']",leak_label__1.0,0.082,0.997,0.609,0.082
"['flow_Link_16__(214.8, 282.6]', 'flow_Link_19__(-981.0, -748.8]']",leak_label__1.0,0.007,0.042,-0.918,0.157
"['flow_Link_16__(282.6, 350.4]', 'flow_Link_19__(-1213.2, -981.0]']",leak_label__1.0,0.061,0.775,0.469,0.079
"['flow_Link_16__(282.6, 350.4]', 'flow_Link_19__(-1445.4, -1213.2]']",leak_label__1.0,0.0,0.0,-1.0,0.016
"['flow_Link_16__(282.6, 350.4]', 'flow_Link_19__(-748.8, -516.6]']",leak_label__1.0,0.002,1.0,0.561,0.002
"['flow_Link_16__(282.6, 350.4]', 'flow_Link_19__(-981.0, -748.8]']",leak_label__1.0,0.065,1.0,0.599,0.065
"['flow_Link_16__(350.4, 418.2]', 'flow_Link_19__(-1213.2, -981.0]']",leak_label__1.0,0.101,1.0,0.623,0.101
"['flow_Link_16__(350.4, 418.2]', 'flow_Link_19__(-1445.4, -1213.2]']",leak_label__1.0,0.078,0.999,0.607,0.078
"['flow_Link_16__(350.4, 418.2]', 'flow_Link_19__(-981.0, -748.8]']",leak_label__1.0,0.002,1.0,0.561,0.002
"['flow_Link_16__(214.8, 282.6]', 'flow_Link_18__(-1190.4, -963.0]']",leak_label__1.0,0.0,0.0,-1.0,0.114
"['flow_Link_16__(214.8, 282.6]', 'flow_Link_18__(-735.6, -508.2]']",leak_label__1.0,0.082,0.997,0.609,0.082
"['flow_Link_16__(214.8, 282.6]', 'flow_Link_18__(-963.0, -735.6]']",leak_label__1.0,0.007,0.047,-0.908,0.159
"['flow_Link_16__(282.6, 350.4]', 'flow_Link_18__(-1190.4, -963.0]']",leak_label__1.0,0.062,0.767,0.464,0.08
"['flow_Link_16__(282.6, 350.4]', 'flow_Link_18__(-1417.8, -1190.4]']",leak_label__1.0,0.0,0.0,-1.0,0.015
"['flow_Link_16__(282.6, 350.4]', 'flow_Link_18__(-735.6, -508.2]']",leak_label__1.0,0.002,1.0,0.561,0.002
