antecedents,consequent,support,confidence,zhangs_metric,rule_coverage
"['demand_Node_2__demand_Node_2__(266.4, 295.2]', 'flow_Link_30__flow_Link_30__(-324.0, -248.4]']",class__1,0.075,1.0,0.606,0.075
"['demand_Node_2__demand_Node_2__(266.4, 295.2]', 'flow_Link_30__flow_Link_30__(172.8, 262.8]']",class__0,0.084,0.977,0.467,0.086
"['demand_Node_2__demand_Node_2__(295.2, 439.2]', 'flow_Link_30__flow_Link_30__(-324.0, -248.4]']",class__1,0.096,1.0,0.62,0.096
"['demand_Node_2__demand_Node_2__(295.2, 439.2]', 'flow_Link_30__flow_Link_30__(172.8, 262.8]']",class__0,0.069,0.996,0.47,0.069
"['demand_Node_2__demand_Node_2__(183.6, 234.0]', 'flow_Link_32__flow_Link_32__(-39.6, 3.6]']",class__0,0.051,0.923,0.416,0.055
"['demand_Node_2__demand_Node_2__(183.6, 234.0]', 'flow_Link_32__flow_Link_32__(-54.0, -39.6]']",class__0,0.067,1.0,0.471,0.067
"['demand_Node_2__demand_Node_2__(183.6, 234.0]', 'flow_Link_32__flow_Link_32__(-547.2, -522.0]']",class__1,0.059,1.0,0.595,0.059
"['demand_Node_2__demand_Node_2__(234.0, 266.4]', 'flow_Link_32__flow_Link_32__(-522.0, -54.0]']",class__0,0.045,1.0,0.461,0.045
"['demand_Node_2__demand_Node_2__(234.0, 266.4]', 'flow_Link_32__flow_Link_32__(-54.0, -39.6]']",class__0,0.086,0.996,0.479,0.086
"['demand_Node_2__demand_Node_2__(234.0, 266.4]', 'flow_Link_32__flow_Link_32__(-547.2, -522.0]']",class__1,0.023,1.0,0.574,0.023
"['demand_Node_2__demand_Node_2__(234.0, 266.4]', 'flow_Link_32__flow_Link_32__(-579.601, -547.2]']",class__1,0.047,1.0,0.588,0.047
"['demand_Node_2__demand_Node_2__(266.4, 295.2]', 'flow_Link_32__flow_Link_32__(-522.0, -54.0]']",class__0,0.07,1.0,0.473,0.07
"['demand_Node_2__demand_Node_2__(266.4, 295.2]', 'flow_Link_32__flow_Link_32__(-54.0, -39.6]']",class__0,0.032,0.99,0.449,0.032
