antecedents,consequent,support,confidence,zhangs_metric,rule_coverage
"['flow_Link_16__(79.199, 223.2]', 'flow_Link_34__(89.999, 320.4]']",leak_label__class_0,0.294,1.0,0.623,0.294
"['flow_Link_16__(223.2, 295.2]', 'flow_Link_20__(795.599, 2268.0]']",leak_label__class_0,0.024,0.868,0.364,0.027
"['flow_Link_16__(295.2, 486.0]', 'flow_Link_20__(2268.0, 3196.8]']",leak_label__class_1,0.007,0.401,-0.089,0.018
"['flow_Link_16__(295.2, 486.0]', 'flow_Link_20__(3196.8, 5108.4]']",leak_label__class_1,0.304,0.984,0.8,0.309
"['flow_Link_16__(79.199, 223.2]', 'flow_Link_20__(795.599, 2268.0]']",leak_label__class_0,0.302,1.0,0.63,0.302
"['flow_Link_16__(223.2, 295.2]', 'flow_Link_21__(464.4, 770.4]']",leak_label__class_0,0.124,1.0,0.502,0.124
"['flow_Link_16__(295.2, 486.0]', 'flow_Link_21__(143.999, 363.6]']",leak_label__class_1,0.011,1.0,0.567,0.011
"['flow_Link_16__(295.2, 486.0]', 'flow_Link_21__(363.6, 464.4]']",leak_label__class_1,0.115,1.0,0.633,0.115
"['flow_Link_16__(79.199, 223.2]', 'flow_Link_21__(464.4, 770.4]']",leak_label__class_0,0.001,1.0,0.44,0.001
"['flow_Link_16__(223.2, 295.2]', 'flow_Link_31__(-471.601, -417.6]']",leak_label__class_1,0.091,1.0,0.616,0.091
"['flow_Link_16__(223.2, 295.2]', 'flow_Link_31__(54.0, 97.2]']",leak_label__class_0,0.227,0.998,0.568,0.227
"['flow_Link_16__(295.2, 486.0]', 'flow_Link_31__(-471.601, -417.6]']",leak_label__class_1,0.233,1.0,0.731,0.233
"['flow_Link_16__(79.199, 223.2]', 'flow_Link_31__(-417.6, 54.0]']",leak_label__class_0,0.253,1.0,0.589,0.253
"['flow_Link_16__(79.199, 223.2]', 'flow_Link_31__(54.0, 97.2]']",leak_label__class_0,0.057,1.0,0.466,0.057
"['flow_Link_16__(295.2, 486.0]', 'flow_Link_25__(219.599, 637.2]']",leak_label__class_1,0.001,1.0,0.561,0.001
"['flow_Link_16__(295.2, 486.0]', 'flow_Link_25__(637.2, 838.8]']",leak_label__class_1,0.014,0.953,0.547,0.015
"['flow_Link_16__(295.2, 486.0]', 'flow_Link_25__(838.8, 1450.8]']",leak_label__class_1,0.301,0.952,0.787,0.316
"['flow_Link_16__(79.199, 223.2]', 'flow_Link_25__(219.599, 637.2]']",leak_label__class_0,0.277,0.904,0.548,0.307
"['flow_Link_16__(79.199, 223.2]', 'flow_Link_25__(637.2, 838.8]']",leak_label__class_0,0.033,1.0,0.455,0.033
"['flow_Link_16__(295.2, 486.0]', 'flow_Link_19__(-1029.6, -795.6]']",leak_label__class_1,0.08,1.0,0.609,0.08
"['flow_Link_16__(295.2, 486.0]', 'flow_Link_19__(-795.6, -284.4]']",leak_label__class_1,0.001,1.0,0.561,0.001
