antecedent,consequent,support,confidence,ant_len,readable
"('flow_Link_22=(140.4, 244.8]',)",class=1,1.533851483922524e-05,0.42777674763582424,1,"flow_Link_22=(140.4, 244.8] → class=1"
"('flow_Link_12=(291.6, 496.8]',)",class=1,1.5198892467476765e-05,0.4238828110513629,1,"flow_Link_12=(291.6, 496.8] → class=1"
"('flow_Link_14=(-306.001, 39.6]',)",class=0,3.0045404663397854e-05,0.6576917479260661,1,"flow_Link_14=(-306.001, 39.6] → class=0"
"('flow_Link_27=(-230.401, -7.2]',)",class=0,2.9240913854751886e-05,0.6400815019647795,1,"flow_Link_27=(-230.401, -7.2] → class=0"
"('flow_Link_33=(7.199, 79.2]',)",class=0,2.7352687493962995e-05,0.5987483626837433,1,"flow_Link_33=(7.199, 79.2] → class=0"
"('flow_Link_15=(-388.801, -43.2]',)",class=0,2.7139929594155794e-05,0.5940911075534857,1,"flow_Link_15=(-388.801, -43.2] → class=0"
"('flow_Link_29=(79.199, 244.8]',)",class=0,2.6867333535027822e-05,0.5881239994178431,1,"flow_Link_29=(79.199, 244.8] → class=0"
"('flow_Link_23=(478.79900000000004, 1443.6]',)",class=0,2.6807495375707047e-05,0.5868141464124581,1,"flow_Link_23=(478.79900000000004, 1443.6] → class=0"
"('flow_Link_34=(89.999, 320.4]',)",class=0,2.667452168832755e-05,0.5839033619560472,1,"flow_Link_34=(89.999, 320.4] → class=0"
"('flow_Link_28=(-126.001, 86.4]',)",class=0,2.657479142279292e-05,0.5817202736137389,1,"flow_Link_28=(-126.001, 86.4] → class=0"
"('flow_Link_20=(795.599, 2268.0]',)",class=0,2.6501655894734198e-05,0.5801193421627129,1,"flow_Link_20=(795.599, 2268.0] → class=0"
"('flow_Link_26=(-572.401, -273.6]',)",class=0,2.6009653251430052e-05,0.5693494396739921,1,"flow_Link_26=(-572.401, -273.6] → class=0"
"('flow_Link_30=(151.2, 262.8]',)",class=0,2.5783597982884906e-05,0.5644011060980935,1,"flow_Link_30=(151.2, 262.8] → class=0"
"('flow_Link_16=(79.199, 223.2]',)",class=0,2.5258351917735883e-05,0.55290350749527,1,"flow_Link_16=(79.199, 223.2] → class=0"
"('flow_Link_31=(54.0, 97.2]',)",class=0,2.442726637161401e-05,0.5347111046427012,1,"flow_Link_31=(54.0, 97.2] → class=0"
"('flow_Link_32=(-532.8, -46.8]',)",class=0,2.354299135054034e-05,0.515354388007568,1,"flow_Link_32=(-532.8, -46.8] → class=0"
"('flow_Link_25=(219.599, 637.2]',)",class=0,2.3250449238305443e-05,0.5089506622034639,1,"flow_Link_25=(219.599, 637.2] → class=0"
"('flow_Link_32=(-46.8, 3.6]',)",class=0,2.2140118948686626e-05,0.48464561199243195,1,"flow_Link_32=(-46.8, 3.6] → class=0"
"('flow_Link_13=(-226.80100000000002, 223.2]',)",class=0,2.1382168930623477e-05,0.46805414059088923,1,"flow_Link_13=(-226.80100000000002, 223.2] → class=0"
"('flow_Link_31=(-417.6, 54.0]',)",class=0,2.1255843927612955e-05,0.4652888953572988,1,"flow_Link_31=(-417.6, 54.0] → class=0"
