antecedents,consequent,support,confidence,zhangs_metric,rule_coverage
"['demand_Node_2__demand_Node_2__(183.6, 234.0]', 'flow_Link_26__flow_Link_26__(-313.2, -244.8]']",class__0.0,0.068,1.0,0.472,0.068
"['demand_Node_2__demand_Node_2__(183.6, 234.0]', 'flow_Link_26__flow_Link_26__(-572.401, -313.2]']",class__0.0,0.001,0.212,-0.623,0.005
"['demand_Node_2__demand_Node_2__(234.0, 266.4]', 'flow_Link_26__flow_Link_26__(-100.8, 104.4]']",class__1.0,0.042,1.0,0.585,0.042
"['demand_Node_2__demand_Node_2__(234.0, 266.4]', 'flow_Link_26__flow_Link_26__(-154.8, -100.8]']",class__0.0,0.0,0.0,-1.0,0.028
"['demand_Node_2__demand_Node_2__(234.0, 266.4]', 'flow_Link_26__flow_Link_26__(-244.8, -154.8]']",class__0.0,0.001,0.519,-0.075,0.002
"['demand_Node_2__demand_Node_2__(234.0, 266.4]', 'flow_Link_26__flow_Link_26__(-313.2, -244.8]']",class__0.0,0.099,1.0,0.488,0.099
"['demand_Node_2__demand_Node_2__(234.0, 266.4]', 'flow_Link_26__flow_Link_26__(-572.401, -313.2]']",class__0.0,0.036,0.875,0.375,0.042
"['demand_Node_2__demand_Node_2__(266.4, 295.2]', 'flow_Link_26__flow_Link_26__(-100.8, 104.4]']",class__1.0,0.009,1.0,0.565,0.009
"['demand_Node_2__demand_Node_2__(266.4, 295.2]', 'flow_Link_26__flow_Link_26__(-154.8, -100.8]']",class__0.0,0.0,0.0,-1.0,0.06
"['demand_Node_2__demand_Node_2__(266.4, 295.2]', 'flow_Link_26__flow_Link_26__(-244.8, -154.8]']",class__0.0,0.0,0.0,-1.0,0.019
"['demand_Node_2__demand_Node_2__(266.4, 295.2]', 'flow_Link_26__flow_Link_26__(-313.2, -244.8]']",class__0.0,0.021,1.0,0.449,0.021
