antecedents,consequent,support,confidence,zhangs_metric,rule_coverage
"['flow_Link_4__(1504.8, 2124.0]', 'flow_Link_14__(28.8, 43.2]']",leak_label__class_0,0.069,1.0,0.472,0.069
"['flow_Link_4__(2124.0, 2422.8]', 'flow_Link_14__(28.8, 43.2]']",leak_label__class_0,0.082,1.0,0.479,0.082
"['flow_Link_4__(2422.8, 2725.2]', 'flow_Link_14__(28.8, 43.2]']",leak_label__class_0,0.05,1.0,0.463,0.05
"['flow_Link_4__(2725.2, 4982.4]', 'flow_Link_14__(115.2, 140.4]']",leak_label__class_1,0.027,1.0,0.576,0.027
"['flow_Link_4__(2725.2, 4982.4]', 'flow_Link_14__(140.4, 187.2]']",leak_label__class_1,0.109,1.0,0.629,0.109
"['flow_Link_4__(1504.8, 2124.0]', 'flow_Link_28__(68.4, 93.6]']",leak_label__class_0,0.077,1.0,0.476,0.077
"['flow_Link_4__(1504.8, 2124.0]', 'flow_Link_28__(93.6, 244.8]']",leak_label__class_0,0.002,1.0,0.441,0.002
"['flow_Link_4__(2124.0, 2422.8]', 'flow_Link_28__(68.4, 93.6]']",leak_label__class_0,0.1,1.0,0.489,0.1
"['flow_Link_4__(2124.0, 2422.8]', 'flow_Link_28__(93.6, 244.8]']",leak_label__class_0,0.038,1.0,0.457,0.038
"['flow_Link_4__(2422.8, 2725.2]', 'flow_Link_28__(244.8, 298.8]']",leak_label__class_1,0.036,1.0,0.581,0.036
"['flow_Link_4__(2422.8, 2725.2]', 'flow_Link_28__(68.4, 93.6]']",leak_label__class_0,0.038,1.0,0.457,0.038
"['flow_Link_4__(2725.2, 4982.4]', 'flow_Link_28__(244.8, 298.8]']",leak_label__class_1,0.007,1.0,0.564,0.007
"['flow_Link_4__(2725.2, 4982.4]', 'flow_Link_28__(298.8, 349.2]']",leak_label__class_1,0.129,1.0,0.643,0.129
"['flow_Link_4__(2725.2, 4982.4]', 'flow_Link_10__(702.0, 3160.8]']",leak_label__class_1,0.133,0.746,0.499,0.179
"['flow_Link_4__(2725.2, 4982.4]', 'flow_Link_3__(2772.0, 5032.8]']",leak_label__class_1,0.15,0.758,0.524,0.199
"['flow_Link_4__(2725.2, 4982.4]', 'flow_Link_11__(522.0, 2980.8]']",leak_label__class_1,0.13,0.751,0.501,0.173
"['flow_Link_4__(1504.8, 2124.0]', 'flow_Link_23__(1537.2, 2322.0]']",leak_label__class_0,0.0,0.0,0.0,0.0
"['flow_Link_4__(2124.0, 2422.8]', 'flow_Link_23__(2322.0, 3020.4]']",leak_label__class_1,0.059,1.0,0.595,0.059
"['flow_Link_4__(2422.8, 2725.2]', 'flow_Link_23__(2322.0, 3020.4]']",leak_label__class_1,0.029,1.0,0.577,0.029
"['flow_Link_4__(1504.8, 2124.0]', 'flow_Link_22__(151.2, 244.8]']",leak_label__class_0,0.0,0.0,0.0,0.0
"['flow_Link_4__(2124.0, 2422.8]', 'flow_Link_22__(151.2, 244.8]']",leak_label__class_0,0.001,0.929,0.397,0.001
"['flow_Link_4__(2422.8, 2725.2]', 'flow_Link_22__(151.2, 244.8]']",leak_label__class_0,0.023,0.587,0.047,0.04
"['flow_Link_4__(1504.8, 2124.0]', 'flow_Link_34__(342.0, 640.8]']",leak_label__class_0,0.0,0.0,0.0,0.0
"['flow_Link_4__(2124.0, 2422.8]', 'flow_Link_34__(342.0, 640.8]']",leak_label__class_0,0.025,1.0,0.451,0.025
"['flow_Link_4__(2422.8, 2725.2]', 'flow_Link_34__(342.0, 640.8]']",leak_label__class_0,0.094,1.0,0.485,0.094
"['flow_Link_4__(1504.8, 2124.0]', 'flow_Link_20__(1918.8, 2408.4]']",leak_label__class_0,0.068,1.0,0.472,0.068
