antecedent,consequent,support,confidence
"demand_Node_10=(122.4, 162.0]",class=0,1.5378095288359293e-05,0.38469374761237746
"demand_Node_21=(255.6, 324.0]",class=0,1.5317010500719336e-05,0.38316566917101746
"demand_Node_11=(53.999, 133.2]",class=0,1.5118484940889472e-05,0.3781994142365975
"demand_Node_2=(111.59899999999999, 223.2]",class=0,1.5062490552219513e-05,0.3767986756653508
"demand_Node_20=(345.6, 432.0]",class=0,1.4986134567669564e-05,0.37488857761365085
"demand_Node_5=(187.2, 237.6]",class=0,1.4965772971789579e-05,0.3743792181331975
"demand_Node_15=(28.799, 75.6]",class=0,1.4930140178999604e-05,0.3734878390424042
"demand_Node_6=(125.999, 273.6]",class=0,1.4925049780029608e-05,0.37336049917229086
"demand_Node_9=(53.999, 129.6]",class=0,1.4853784194449657e-05,0.3715777409907042
"demand_Node_11=(133.2, 165.6]",class=0,1.4838512997539668e-05,0.3711957213803642
"demand_Node_20=(143.999, 345.6]",class=0,1.4807970603719688e-05,0.3704316821596842
"demand_Node_5=(71.999, 187.2]",class=0,1.47926994068097e-05,0.3700496625493442
"demand_Node_17=(194.4, 252.0]",class=0,1.4782518608869706e-05,0.36979498280911755
"demand_Node_24=(82.79899999999999, 205.2]",class=0,1.4731614619169742e-05,0.3685215841079842
"demand_Node_7=(154.799, 356.4]",class=0,1.4665439432559789e-05,0.3668661657965109
"demand_Node_21=(97.199, 255.6]",class=0,1.4650168235649799e-05,0.36648414618617087
"demand_Node_2=(223.2, 273.6]",class=0,1.461962584182982e-05,0.3657201069654909
"demand_Node_30=(93.6, 118.8]",class=0,1.4614535442859824e-05,0.3655927670953776
"demand_Node_12=(61.199000000000005, 147.6]",class=0,1.4558541054189861e-05,0.3641920285241309
"demand_Node_28=(25.198999999999998, 64.8]",class=0,1.447709467066992e-05,0.3621545906023176
"demand_Node_22=(43.199000000000005, 108.0]",class=0,1.4441461877879945e-05,0.36126321151152424
"demand_Node_8=(53.999, 144.0]",class=0,1.4436371478909948e-05,0.3611358716414109
"demand_Node_27=(25.198999999999998, 82.8]",class=0,1.443128107993995e-05,0.3610085317712976
"demand_Node_3=(79.199, 212.4]",class=0,1.4400738686119974e-05,0.3602444925506176
"demand_Node_13=(79.199, 223.2]",class=0,1.4329473100540022e-05,0.35846173436903095
"demand_Node_17=(64.79899999999999, 194.4]",class=0,1.4329473100540022e-05,0.35846173436903095
"demand_Node_18=(115.199, 352.8]",class=0,1.4298930706720044e-05,0.3576976951483509
"demand_Node_26=(97.199, 241.2]",class=0,1.4273478711870061e-05,0.3570609957977843
"demand_Node_10=(35.999, 122.4]",class=0,1.4253117115990075e-05,0.35655163631733094
"demand_Node_23=(79.199, 241.2]",class=0,1.4141128338650153e-05,0.35375015917483765
"demand_Node_14=(53.999, 165.6]",class=0,1.4034229960280227e-05,0.3510760219024577
"demand_Node_29=(28.799, 86.4]",class=0,1.4013868364400242e-05,0.35056666242200435
"demand_Node_32=(75.59899999999999, 198.0]",class=0,1.4008777965430244e-05,0.350439322551891
"demand_Node_16=(79.2, 97.2]",class=0,1.4003687566460248e-05,0.35031198268177766
"demand_Node_31=(25.2, 32.4]",class=0,1.4003687566460248e-05,0.35031198268177766
"demand_Node_19=(14.4, 18.0]",class=0,1.3143410140530848e-05,0.3287915446326245
