antecedents,consequent,support,confidence,zhangs_metric,rule_coverage
"['pressure_Node_21__(61.919, 63.786]', 'pressure_Node_28__(29.198, 62.325]']",class__0,0.09,0.971,0.466,0.092
"['pressure_Node_21__(61.919, 63.786]', 'pressure_Node_28__(62.325, 64.995]']",class__0,0.06,0.989,0.462,0.061
"['pressure_Node_21__(63.786, 65.501]', 'pressure_Node_28__(23.641, 29.198]']",class__1,0.036,1.0,0.581,0.036
"['pressure_Node_21__(63.786, 65.501]', 'pressure_Node_28__(29.198, 62.325]']",class__0,0.0,0.0,-1.0,0.023
"['pressure_Node_21__(63.786, 65.501]', 'pressure_Node_28__(62.325, 64.995]']",class__0,0.138,0.989,0.504,0.14
"['pressure_Node_21__(57.705, 61.919]', 'pressure_Node_29__(24.883, 31.34]']",class__1,0.114,1.0,0.632,0.114
"['pressure_Node_21__(57.705, 61.919]', 'pressure_Node_29__(31.34, 61.893]']",class__0,0.073,0.911,0.419,0.08
"['pressure_Node_21__(57.705, 61.919]', 'pressure_Node_29__(61.893, 64.72]']",class__0,0.0,0.0,0.0,0.0
"['pressure_Node_21__(61.919, 63.786]', 'pressure_Node_29__(24.883, 31.34]']",class__1,0.045,1.0,0.587,0.045
"['pressure_Node_21__(61.919, 63.786]', 'pressure_Node_29__(31.34, 61.893]']",class__0,0.09,0.972,0.467,0.092
"['pressure_Node_21__(61.919, 63.786]', 'pressure_Node_29__(61.893, 64.72]']",class__0,0.06,0.988,0.461,0.061
"['pressure_Node_21__(63.786, 65.501]', 'pressure_Node_29__(24.883, 31.34]']",class__1,0.036,1.0,0.581,0.036
"['pressure_Node_21__(63.786, 65.501]', 'pressure_Node_29__(31.34, 61.893]']",class__0,0.0,0.0,-1.0,0.023
"['pressure_Node_21__(63.786, 65.501]', 'pressure_Node_29__(61.893, 64.72]']",class__0,0.138,0.99,0.504,0.139
"['pressure_Node_21__(57.705, 61.919]', 'pressure_Node_15__(57.534, 60.977]']",class__0,0.063,0.418,-0.286,0.151
"['pressure_Node_21__(61.919, 63.786]', 'pressure_Node_15__(57.534, 60.977]']",class__0,0.025,1.0,0.451,0.025
"['pressure_Node_21__(61.919, 63.786]', 'pressure_Node_15__(63.149, 65.682]']",class__0,0.0,0.0,-1.0,0.041
"['pressure_Node_21__(57.705, 61.919]', 'pressure_Node_3__(65.474, 66.827]']",class__0,0.068,0.405,-0.316,0.168
"['pressure_Node_21__(57.705, 61.919]', 'pressure_Node_3__(66.827, 67.591]']",class__0,0.0,0.013,-0.978,0.019
"['pressure_Node_21__(61.919, 63.786]', 'pressure_Node_3__(65.474, 66.827]']",class__0,0.015,0.819,0.322,0.019
"['pressure_Node_21__(57.705, 61.919]', 'pressure_Node_1__nan']",class__0,0.073,0.368,-0.395,0.199
"['pressure_Node_21__(57.705, 61.919]', 'pressure_Node_17__(62.27, 64.144]']",class__0,0.0,0.0,-1.0,0.035
"['pressure_Node_21__(61.919, 63.786]', 'pressure_Node_17__(62.27, 64.144]']",class__0,0.118,0.984,0.49,0.12
"['pressure_Node_21__(57.705, 61.919]', 'pressure_Node_16__(57.642, 61.064]']",class__0,0.064,0.405,-0.313,0.158
"['pressure_Node_21__(57.705, 61.919]', 'pressure_Node_16__(61.064, 63.215]']",class__0,0.0,0.003,-0.995,0.028
"['pressure_Node_21__(57.705, 61.919]', 'pressure_Node_4__(63.699, 65.339]']",class__0,0.06,0.422,-0.276,0.143
"['pressure_Node_21__(57.705, 61.919]', 'pressure_Node_4__(65.339, 66.449]']",class__0,0.0,0.005,-0.992,0.036
"['pressure_Node_21__(61.919, 63.786]', 'pressure_Node_4__(66.449, 67.752]']",class__0,0.0,0.0,-1.0,0.043
"['pressure_Node_21__(57.705, 61.919]', 'pressure_Node_12__(60.775, 62.962]']",class__0,0.052,0.438,-0.242,0.119
"['pressure_Node_21__(57.705, 61.919]', 'pressure_Node_12__(62.962, 64.608]']",class__0,0.0,0.0,-1.0,0.042
"['pressure_Node_21__(57.705, 61.919]', 'pressure_Node_12__(64.608, 66.806]']",class__0,0.0,0.0,-1.0,0.009
"['pressure_Node_21__(61.919, 63.786]', 'pressure_Node_12__(60.775, 62.962]']",class__0,0.044,1.0,0.46,0.044
"['pressure_Node_21__(61.919, 63.786]', 'pressure_Node_12__(62.962, 64.608]']",class__0,0.106,1.0,0.492,0.106
"['pressure_Node_21__(57.705, 61.919]', 'pressure_Node_13__(60.227, 62.492]']",class__0,0.05,0.439,-0.239,0.114
"['pressure_Node_21__(57.705, 61.919]', 'pressure_Node_13__(62.492, 64.248]']",class__0,0.0,0.0,-1.0,0.044
"['pressure_Node_21__(57.705, 61.919]', 'pressure_Node_13__(64.248, 66.649]']",class__0,0.0,0.0,-1.0,0.011
"['pressure_Node_21__(61.919, 63.786]', 'pressure_Node_13__(60.227, 62.492]']",class__0,0.046,1.0,0.461,0.046
"['pressure_Node_21__(61.919, 63.786]', 'pressure_Node_13__(62.492, 64.248]']",class__0,0.103,1.0,0.49,0.103
"['pressure_Node_21__(57.705, 61.919]', 'pressure_Node_5__(64.672, 65.933]']",class__0,0.0,0.0,-1.0,0.039
"['pressure_Node_21__(61.919, 63.786]', 'pressure_Node_5__(65.933, 67.476]']",class__0,0.0,0.0,-1.0,0.045
"['pressure_Node_21__(57.705, 61.919]', 'pressure_Node_7__(61.997, 63.931]']",class__0,0.056,0.435,-0.247,0.128
"['pressure_Node_21__(57.705, 61.919]', 'pressure_Node_7__(63.931, 65.356]']",class__0,0.0,0.0,-1.0,0.041
"['pressure_Node_21__(57.705, 61.919]', 'pressure_Node_7__(65.356, 67.176]']",class__0,0.0,0.0,-1.0,0.005
"['pressure_Node_21__(61.919, 63.786]', 'pressure_Node_7__(63.931, 65.356]']",class__0,0.111,1.0,0.495,0.111
"['pressure_Node_21__(57.705, 61.919]', 'pressure_Node_11__(60.942, 63.105]']",class__0,0.053,0.437,-0.243,0.121
"['pressure_Node_21__(57.705, 61.919]', 'pressure_Node_11__(63.105, 64.718]']",class__0,0.0,0.0,-1.0,0.042
"['pressure_Node_21__(57.705, 61.919]', 'pressure_Node_11__(64.718, 66.857]']",class__0,0.0,0.0,-1.0,0.009
"['pressure_Node_21__(61.919, 63.786]', 'pressure_Node_11__(60.942, 63.105]']",class__0,0.042,1.0,0.459,0.042
"['pressure_Node_21__(61.919, 63.786]', 'pressure_Node_11__(63.105, 64.718]']",class__0,0.107,1.0,0.493,0.107
"['pressure_Node_21__(57.705, 61.919]', 'pressure_Node_10__(61.122, 63.248]']",class__0,0.054,0.436,-0.245,0.123
"['pressure_Node_21__(57.705, 61.919]', 'pressure_Node_10__(63.248, 64.84]']",class__0,0.0,0.0,-1.0,0.041
"['pressure_Node_21__(57.705, 61.919]', 'pressure_Node_10__(64.84, 66.914]']",class__0,0.0,0.0,-1.0,0.008
"['pressure_Node_21__(61.919, 63.786]', 'pressure_Node_10__(61.122, 63.248]']",class__0,0.041,1.0,0.459,0.041
"['pressure_Node_21__(61.919, 63.786]', 'pressure_Node_10__(63.248, 64.84]']",class__0,0.109,1.0,0.493,0.109
"['pressure_Node_21__(61.919, 63.786]', 'pressure_Node_10__(64.84, 66.914]']",class__0,0.0,0.0,-1.0,0.045
"['pressure_Node_21__(57.705, 61.919]', 'pressure_Node_6__(62.152, 64.055]']",class__0,0.056,0.436,-0.246,0.129
"['pressure_Node_21__(57.705, 61.919]', 'pressure_Node_6__(64.055, 65.45]']",class__0,0.0,0.0,-1.0,0.041
"['pressure_Node_21__(61.919, 63.786]', 'pressure_Node_6__(64.055, 65.45]']",class__0,0.112,1.0,0.495,0.112
"['pressure_Node_20__(63.33, 64.853]', 'pressure_Node_8__(61.565, 63.596]']",class__0,0.058,1.0,0.467,0.058
"['pressure_Node_20__(63.33, 64.853]', 'pressure_Node_8__(63.596, 65.104]']",class__0,0.081,1.0,0.479,0.081
"['pressure_Node_20__(63.33, 64.853]', 'pressure_Node_8__(65.104, 67.047]']",class__0,0.0,0.0,-1.0,0.043
"['pressure_Node_20__(59.218, 63.33]', 'pressure_Node_22__(57.083, 61.352]']",class__0,0.054,0.313,-0.489,0.172
"['pressure_Node_20__(63.33, 64.853]', 'pressure_Node_22__(57.083, 61.352]']",class__0,0.023,1.0,0.45,0.023
"['pressure_Node_20__(63.33, 64.853]', 'pressure_Node_22__(61.352, 63.357]']",class__0,0.116,0.835,0.382,0.139
"['pressure_Node_20__(59.218, 63.33]', 'pressure_Node_23__(63.762, 65.881]']",class__0,0.0,0.0,0.0,0.0
"['pressure_Node_20__(63.33, 64.853]', 'pressure_Node_23__(63.762, 65.881]']",class__0,0.027,0.991,0.447,0.027
"['pressure_Node_20__(63.33, 64.853]', 'pressure_Node_9__(61.222, 63.327]']",class__0,0.059,1.0,0.467,0.059
"['pressure_Node_20__(63.33, 64.853]', 'pressure_Node_9__(63.327, 64.9]']",class__0,0.08,1.0,0.478,0.08
"['pressure_Node_20__(63.33, 64.853]', 'pressure_Node_9__(64.9, 66.942]']",class__0,0.0,0.0,-1.0,0.042
"['pressure_Node_20__(59.218, 63.33]', 'pressure_Node_27__(59.402, 61.843]']",class__0,0.001,0.542,-0.033,0.002
"['pressure_Node_20__(63.33, 64.853]', 'pressure_Node_27__(59.402, 61.843]']",class__0,0.136,0.698,0.245,0.194
"['pressure_Node_20__(59.218, 63.33]', 'pressure_Node_32__(61.473, 64.32]']",class__0,0.0,0.0,0.0,0.0
"['pressure_Node_20__(63.33, 64.853]', 'pressure_Node_32__(61.473, 64.32]']",class__0,0.019,0.974,0.433,0.019
"['pressure_Node_20__(63.33, 64.853]', 'pressure_Node_26__(52.355, 59.291]']",class__0,0.0,0.077,-0.863,0.004
"['pressure_Node_20__(63.33, 64.853]', 'pressure_Node_26__(59.291, 61.719]']",class__0,0.131,0.7,0.246,0.187
"['pressure_Node_20__(63.33, 64.853]', 'pressure_Node_26__(61.719, 64.371]']",class__0,0.008,0.97,0.426,0.008
"['pressure_Node_20__(63.33, 64.853]', 'pressure_Node_18__(64.914, 66.153]']",class__0,0.09,0.998,0.482,0.09
"['pressure_Node_20__(59.218, 63.33]', 'pressure_Node_30__(48.179, 57.483]']",class__1,0.133,0.857,0.576,0.155
"['pressure_Node_20__(59.218, 63.33]', 'pressure_Node_30__(61.222, 64.274]']",class__0,0.0,0.0,0.0,0.0
"['pressure_Node_20__(63.33, 64.853]', 'pressure_Node_30__(57.483, 61.222]']",class__0,0.108,0.843,0.385,0.128
"['pressure_Node_20__(63.33, 64.853]', 'pressure_Node_30__(61.222, 64.274]']",class__0,0.031,0.977,0.441,0.032
"['pressure_Node_20__(64.853, 66.435]', 'pressure_Node_30__(48.179, 57.483]']",class__1,0.0,0.0,0.0,0.0
"['pressure_Node_20__(64.853, 66.435]', 'pressure_Node_30__(61.222, 64.274]']",class__0,0.167,0.992,0.523,0.168
"['pressure_Node_20__(63.33, 64.853]', 'pressure_Node_24__(62.535, 64.984]']",class__0,0.014,0.978,0.433,0.015
"['pressure_Node_20__(63.33, 64.853]', 'pressure_Node_25__(52.373, 59.411]']",class__0,0.0,0.027,-0.951,0.006
"['pressure_Node_20__(63.33, 64.853]', 'pressure_Node_25__(59.411, 61.795]']",class__0,0.129,0.704,0.251,0.183
"['pressure_Node_20__(63.33, 64.853]', 'pressure_Node_25__(61.795, 64.446]']",class__0,0.01,0.976,0.43,0.01
"['pressure_Node_20__(59.218, 63.33]', 'pressure_Node_31__(61.243, 64.288]']",class__0,0.0,0.0,0.0,0.0
"['pressure_Node_20__(63.33, 64.853]', 'pressure_Node_31__(61.243, 64.288]']",class__0,0.031,0.977,0.441,0.032
"['pressure_Node_20__(64.853, 66.435]', 'pressure_Node_31__(61.243, 64.288]']",class__0,0.167,0.992,0.523,0.168
"['pressure_Node_20__(63.33, 64.853]', 'pressure_Node_19__(64.344, 65.895]']",class__0,0.042,0.936,0.421,0.045
"['pressure_Node_20__(63.33, 64.853]', 'pressure_Node_19__(65.895, 66.888]']",class__0,0.097,1.0,0.487,0.097
"['pressure_Node_20__(63.33, 64.853]', 'pressure_Node_2__(69.612, 69.724]']",class__0,0.035,0.924,0.409,0.038
