antecedents,consequent,support,confidence,zhangs_metric,rule_coverage
"['demand_Node_2__demand_Node_2__(177.12, 242.64]', 'flow_Link_13__flow_Link_13__(75.6, 226.8]']",class__1.0,0.005,0.039,-0.922,0.135
"['demand_Node_2__demand_Node_2__(242.64, 308.16]', 'flow_Link_13__flow_Link_13__(226.8, 378.0]']",class__1.0,0.118,0.354,-0.267,0.335
"['demand_Node_2__demand_Node_2__(242.64, 308.16]', 'flow_Link_13__flow_Link_13__(75.6, 226.8]']",class__1.0,0.0,0.0,-1.0,0.017
"['demand_Node_2__demand_Node_2__(308.16, 373.68]', 'flow_Link_13__flow_Link_13__(226.8, 378.0]']",class__1.0,0.004,0.076,-0.835,0.047
"['demand_Node_2__demand_Node_2__(308.16, 373.68]', 'flow_Link_13__flow_Link_13__(378.0, 529.2]']",class__1.0,0.078,0.997,0.606,0.078
"['demand_Node_2__demand_Node_2__(308.16, 373.68]', 'flow_Link_13__flow_Link_13__(75.6, 226.8]']",class__0.0,0.0,0.0,0.0,0.0
"['demand_Node_2__demand_Node_2__(111.272, 177.12]', 'flow_Link_17__flow_Link_17__(-448.56, -301.68]']",class__1.0,0.064,0.972,0.586,0.066
"['demand_Node_2__demand_Node_2__(177.12, 242.64]', 'flow_Link_17__flow_Link_17__(-448.56, -301.68]']",class__1.0,0.04,0.233,-0.517,0.17
"['demand_Node_2__demand_Node_2__(177.12, 242.64]', 'flow_Link_17__flow_Link_17__(-595.44, -448.56]']",class__1.0,0.058,0.755,0.452,0.077
"['demand_Node_2__demand_Node_2__(177.12, 242.64]', 'flow_Link_17__flow_Link_17__(-742.32, -595.44]']",class__1.0,0.001,1.0,0.561,0.001
"['demand_Node_2__demand_Node_2__(242.64, 308.16]', 'flow_Link_17__flow_Link_17__(-448.56, -301.68]']",class__1.0,0.0,0.0,-1.0,0.033
"['demand_Node_2__demand_Node_2__(242.64, 308.16]', 'flow_Link_17__flow_Link_17__(-595.44, -448.56]']",class__1.0,0.064,0.243,-0.522,0.261
"['demand_Node_2__demand_Node_2__(242.64, 308.16]', 'flow_Link_17__flow_Link_17__(-742.32, -595.44]']",class__1.0,0.118,0.974,0.624,0.121
"['demand_Node_2__demand_Node_2__(308.16, 373.68]', 'flow_Link_17__flow_Link_17__(-448.56, -301.68]']",class__1.0,0.0,0.0,0.0,0.0
"['demand_Node_2__demand_Node_2__(308.16, 373.68]', 'flow_Link_17__flow_Link_17__(-595.44, -448.56]']",class__1.0,0.0,0.007,-0.985,0.024
"['demand_Node_2__demand_Node_2__(308.16, 373.68]', 'flow_Link_17__flow_Link_17__(-742.32, -595.44]']",class__1.0,0.061,0.748,0.449,0.082
"['demand_Node_2__demand_Node_2__(111.272, 177.12]', 'demand_Node_7__demand_Node_7__(267.84, 380.88]']",class__1.0,0.012,0.48,0.085,0.024
"['demand_Node_2__demand_Node_2__(177.12, 242.64]', 'demand_Node_7__demand_Node_7__(267.84, 380.88]']",class__1.0,0.067,0.376,-0.17,0.178
